word,lemma,is_loanword,donor_language,donor_family,source_word,semantic_domain,confidence
шедевр,шедевр,1,French,Indo-European/Romance,chef-d'oeuvre,art,0.90
афиша,афиша,1,French,Indo-European/Romance,affiche,art,0.85
гардероб,гардероб,1,French,Indo-European/Romance,garde-robe,clothing,0.88
ансамбль,ансамбль,1,French,Indo-European/Romance,ensemble,music,0.88
бижутерия,бижутерия,1,French,Indo-European/Romance,bijouterie,fashion,0.90
аксессуар,аксессуар,1,French,Indo-European/Romance,accessoire,fashion,0.90
шампиньон,шампиньон,1,French,Indo-European/Romance,champignon,food,0.88
бульвар,бульвар,1,French,Indo-European/Romance,boulevard,architecture,0.88
авеню,авеню,1,French,Indo-European/Romance,avenue,architecture,0.88
карамель,карамель,1,French,Indo-European/Romance,caramel,food,0.88
пикник,пикник,1,French,Indo-European/Romance,pique-nique,social,0.85
силуэт,силуэт,1,French,Indo-European/Romance,silhouette,art,0.90
купюра,купюра,1,French,Indo-European/Romance,coupure,finance,0.82
этаж,этаж,1,French,Indo-European/Romance,étage,architecture,0.90
персонаж,персонаж,1,French,Indo-European/Romance,personnage,art,0.88
сюрприз,сюрприз,1,French,Indo-European/Romance,surprise,general,0.88
трюк,трюк,1,French,Indo-European/Romance,truc,art,0.83
пируэт,пируэт,1,French,Indo-European/Romance,pirouette,art,0.92
антракт,антракт,1,French,Indo-European/Romance,entr'acte,art,0.90
фойе,фойе,1,French,Indo-European/Romance,foyer,architecture,0.90
партер,партер,1,French,Indo-European/Romance,parterre,art,0.88
дубляж,дубляж,1,French,Indo-European/Romance,doublage,art,0.90
гримёр,гримёр,1,French,Indo-European/Romance,grimeur,art,0.88
суфлёр,суфлёр,1,French,Indo-European/Romance,souffleur,art,0.90
цейтнот,цейтнот,1,German,Indo-European/Germanic,Zeitnot,game,0.90
вундеркинд,вундеркинд,1,German,Indo-European/Germanic,Wunderkind,general,0.92
рейхстаг,рейхстаг,1,German,Indo-European/Germanic,Reichstag,politics,0.92
мундир,мундир,1,German,Indo-European/Germanic,Mundierung,military,0.83
дрель,дрель,1,German,Indo-European/Germanic,Drille,tool,0.83
шуруп,шуруп,1,German,Indo-European/Germanic,Schraube,tool,0.83
кронштейн,кронштейн,1,German,Indo-European/Germanic,Kragstein,architecture,0.88
абзац,абзац,1,German,Indo-European/Germanic,Absatz,typography,0.85
шланг,шланг,1,German,Indo-European/Germanic,Schlauch,tool,0.85
лейтмотив,лейтмотив,1,German,Indo-European/Germanic,Leitmotiv,music,0.92
вахта,вахта,1,German,Indo-European/Germanic,Wacht,naval,0.82
форзац,форзац,1,German,Indo-European/Germanic,Vorsatz,typography,0.88
астрология,астрология,1,Greek/Latin,Indo-European/Classical,astrologia,science,0.92
биография,биография,1,Greek/Latin,Indo-European/Classical,biographia,literature,0.92
антология,антология,1,Greek/Latin,Indo-European/Classical,anthologia,literature,0.92
энциклопедия,энциклопедия,1,Greek/Latin,Indo-European/Classical,encyclopaedia,education,0.92
синоним,синоним,1,Greek/Latin,Indo-European/Classical,synonymum,linguistics,0.92
антоним,антоним,1,Greek/Latin,Indo-European/Classical,antonymum,linguistics,0.93
параграф,параграф,1,Greek/Latin,Indo-European/Classical,paragraphus,typography,0.88
диалог,диалог,1,Greek/Latin,Indo-European/Classical,dialogus,linguistics,0.90
монолог,монолог,1,Greek/Latin,Indo-European/Classical,monologus,art,0.90
каталог,каталог,1,Greek/Latin,Indo-European/Classical,catalogus,general,0.88
фонетика,фонетика,1,Greek/Latin,Indo-European/Classical,phonetica,linguistics,0.92
семантика,семантика,1,Greek/Latin,Indo-European/Classical,semantica,linguistics,0.93
грамматика,грамматика,1,Greek/Latin,Indo-European/Classical,grammatica,linguistics,0.92
стилистика,стилистика,1,Greek/Latin,Indo-European/Classical,stylistica,linguistics,0.92
риторика,риторика,1,Greek/Latin,Indo-European/Classical,rhetorica,linguistics,0.90
психология,психология,1,Greek/Latin,Indo-European/Classical,psychologia,science,0.92
социология,социология,1,Greek/Latin,Indo-European/Classical,sociologia,science,0.92
антропология,антропология,1,Greek/Latin,Indo-European/Classical,anthropologia,science,0.93
зоология,зоология,1,Greek/Latin,Indo-European/Classical,zoologia,science,0.92
ботаника,ботаника,1,Greek/Latin,Indo-European/Classical,botanica,science,0.90
генетика,генетика,1,Greek/Latin,Indo-European/Classical,genetica,science,0.93
фармакология,фармакология,1,Greek/Latin,Indo-European/Classical,pharmacologia,medicine,0.93
кардиология,кардиология,1,Greek/Latin,Indo-European/Classical,cardiologia,medicine,0.93
неврология,неврология,1,Greek/Latin,Indo-European/Classical,neurologia,medicine,0.93
дипломатия,дипломатия,1,Greek/Latin,Indo-European/Classical,diplomatia,politics,0.90
конференция,конференция,1,Greek/Latin,Indo-European/Classical,conferentia,politics,0.90
коммуникация,коммуникация,1,Greek/Latin,Indo-European/Classical,communicatio,general,0.90
документация,документация,1,Greek/Latin,Indo-European/Classical,documentatio,administration,0.88
презентация,презентация,1,Greek/Latin,Indo-European/Classical,praesentatio,business,0.90
инновация,инновация,1,Greek/Latin,Indo-European/Classical,innovatio,business,0.90
организация,организация,1,Greek/Latin,Indo-European/Classical,organisatio,general,0.85
информация,информация,1,Greek/Latin,Indo-European/Classical,informatio,general,0.85
трансформация,трансформация,1,Greek/Latin,Indo-European/Classical,transformatio,general,0.88
традиция,традиция,1,Greek/Latin,Indo-European/Classical,traditio,general,0.85
функция,функция,1,Greek/Latin,Indo-European/Classical,functio,science,0.88
лекция,лекция,1,Greek/Latin,Indo-European/Classical,lectio,education,0.88
коллекция,коллекция,1,Greek/Latin,Indo-European/Classical,collectio,general,0.88
позиция,позиция,1,Greek/Latin,Indo-European/Classical,positio,general,0.85
революция,революция,1,Greek/Latin,Indo-European/Classical,revolutio,politics,0.88
эволюция,эволюция,1,Greek/Latin,Indo-European/Classical,evolutio,science,0.90
иллюзия,иллюзия,1,Greek/Latin,Indo-European/Classical,illusio,general,0.88
дискуссия,дискуссия,1,Greek/Latin,Indo-European/Classical,discussio,general,0.88
миссия,миссия,1,Greek/Latin,Indo-European/Classical,missio,general,0.88
пенсия,пенсия,1,Greek/Latin,Indo-European/Classical,pensio,finance,0.85
сессия,сессия,1,Greek/Latin,Indo-European/Classical,sessio,education,0.88
профессия,профессия,1,Greek/Latin,Indo-European/Classical,professio,general,0.85
экспедиция,экспедиция,1,Greek/Latin,Indo-European/Classical,expeditio,science,0.88
реакция,реакция,1,Greek/Latin,Indo-European/Classical,reactio,science,0.88
операция,операция,1,Greek/Latin,Indo-European/Classical,operatio,general,0.88
инструкция,инструкция,1,Greek/Latin,Indo-European/Classical,instructio,general,0.88
протокол,протокол,1,Greek/Latin,Indo-European/Classical,protocollum,administration,0.83
редакция,редакция,1,Greek/Latin,Indo-European/Classical,redactio,media,0.88
деньги,деньги,1,Turkic,Turkic,tenge,finance,0.72
кирпич,кирпич,1,Turkic,Turkic,kerpic,construction,0.75
чалма,чалма,1,Turkic,Turkic,calma,clothing,0.82
арбуз,арбуз,1,Turkic,Turkic,karpuz,food,0.80
изюм,изюм,1,Turkic,Turkic,uzum,food,0.80
башлык,башлык,1,Turkic,Turkic,bashlyk,clothing,0.83
нагайка,нагайка,1,Turkic,Turkic,naghaika,history,0.80
чубук,чубук,1,Turkic,Turkic,chubuk,tool,0.78
бурдюк,бурдюк,1,Turkic,Turkic,burduk,tool,0.78
тулуп,тулуп,1,Turkic,Turkic,tulup,clothing,0.78
каракуль,каракуль,1,Turkic,Turkic,qorakul,clothing,0.80
шах,шах,1,Arabic/Persian,Afro-Asiatic/Iranian,shah,politics,0.85
визирь,визирь,1,Arabic/Persian,Afro-Asiatic/Iranian,wazir,politics,0.88
эмир,эмир,1,Arabic/Persian,Afro-Asiatic/Iranian,amir,politics,0.90
зенит,зенит,1,Arabic/Persian,Afro-Asiatic/Iranian,samt,science,0.82
надир,надир,1,Arabic/Persian,Afro-Asiatic/Iranian,nadir,science,0.85
азимут,азимут,1,Arabic/Persian,Afro-Asiatic/Iranian,al-sumut,science,0.85
алхимия,алхимия,1,Arabic/Persian,Afro-Asiatic/Iranian,al-kimiya,science,0.88
эликсир,эликсир,1,Arabic/Persian,Afro-Asiatic/Iranian,al-iksir,science,0.88
тариф,тариф,1,Arabic/Persian,Afro-Asiatic/Iranian,tarif,finance,0.85
хашиш,хашиш,1,Arabic/Persian,Afro-Asiatic/Iranian,hashish,substance,0.88
пицца,пицца,1,Italian,Indo-European/Romance,pizza,food,0.95
паста,паста,1,Italian,Indo-European/Romance,pasta,food,0.90
ризотто,ризотто,1,Italian,Indo-European/Romance,risotto,food,0.95
тирамису,тирамису,1,Italian,Indo-European/Romance,tiramisù,food,0.97
капучино,капучино,1,Italian,Indo-European/Romance,cappuccino,food,0.95
эспрессо,эспрессо,1,Italian,Indo-European/Romance,espresso,food,0.95
балкон,балкон,1,Italian,Indo-European/Romance,balcone,architecture,0.85
новелла,новелла,1,Italian,Indo-European/Romance,novella,literature,0.90
импресарио,импресарио,1,Italian,Indo-European/Romance,impresario,art,0.93
фиаско,фиаско,1,Italian,Indo-European/Romance,fiasco,general,0.90
сонет,сонет,1,Italian,Indo-European/Romance,sonetto,literature,0.90
штурвал,штурвал,1,Dutch,Indo-European/Germanic,stuurwiel,naval,0.90
вымпел,вымпел,1,Dutch,Indo-European/Germanic,wimpel,naval,0.88
кабель,кабель,1,Dutch,Indo-European/Germanic,kabel,technology,0.85
трос,трос,1,Dutch,Indo-European/Germanic,tros,naval,0.88
люк,люк,1,Dutch,Indo-European/Germanic,luik,architecture,0.83
бухта,бухта,1,Dutch,Indo-European/Germanic,bocht,geography,0.82
нос,нос,0,Slavic,Indo-European/Slavic,,body,0.03
глаз,глаз,0,Slavic,Indo-European/Slavic,,body,0.03
ухо,ухо,0,Slavic,Indo-European/Slavic,,body,0.03
рот,рот,0,Slavic,Indo-European/Slavic,,body,0.03
зуб,зуб,0,Slavic,Indo-European/Slavic,,body,0.03
палец,палец,0,Slavic,Indo-European/Slavic,,body,0.03
спина,спина,0,Slavic,Indo-European/Slavic,,body,0.03
живот,живот,0,Slavic,Indo-European/Slavic,,body,0.03
кость,кость,0,Slavic,Indo-European/Slavic,,body,0.03
кровь,кровь,0,Slavic,Indo-European/Slavic,,body,0.03
кожа,кожа,0,Slavic,Indo-European/Slavic,,body,0.03
волос,волос,0,Slavic,Indo-European/Slavic,,body,0.03
лицо,лицо,0,Slavic,Indo-European/Slavic,,body,0.04
шея,шея,0,Slavic,Indo-European/Slavic,,body,0.04
грудь,грудь,0,Slavic,Indo-European/Slavic,,body,0.03
плечо,плечо,0,Slavic,Indo-European/Slavic,,body,0.03
лоб,лоб,0,Slavic,Indo-European/Slavic,,body,0.03
язык,язык,0,Slavic,Indo-European/Slavic,,body,0.03
живой,живой,0,Slavic,Indo-European/Slavic,,abstract,0.03
молодой,молодой,0,Slavic,Indo-European/Slavic,,abstract,0.03
богатый,богатый,0,Slavic,Indo-European/Slavic,,abstract,0.03
бедный,бедный,0,Slavic,Indo-European/Slavic,,abstract,0.03
длинный,длинный,0,Slavic,Indo-European/Slavic,,abstract,0.03
короткий,короткий,0,Slavic,Indo-European/Slavic,,abstract,0.03
толстый,толстый,0,Slavic,Indo-European/Slavic,,abstract,0.03
тонкий,тонкий,0,Slavic,Indo-European/Slavic,,abstract,0.03
тёплый,тёплый,0,Slavic,Indo-European/Slavic,,abstract,0.03
холодный,холодный,0,Slavic,Indo-European/Slavic,,abstract,0.03
сухой,сухой,0,Slavic,Indo-European/Slavic,,abstract,0.03
мокрый,мокрый,0,Slavic,Indo-European/Slavic,,abstract,0.03
чистый,чистый,0,Slavic,Indo-European/Slavic,,abstract,0.03
грязный,грязный,0,Slavic,Indo-European/Slavic,,abstract,0.03
острый,острый,0,Slavic,Indo-European/Slavic,,abstract,0.03
лёгкий,лёгкий,0,Slavic,Indo-European/Slavic,,abstract,0.03
тяжёлый,тяжёлый,0,Slavic,Indo-European/Slavic,,abstract,0.03
широкий,широкий,0,Slavic,Indo-European/Slavic,,abstract,0.03
узкий,узкий,0,Slavic,Indo-European/Slavic,,abstract,0.03
глубокий,глубокий,0,Slavic,Indo-European/Slavic,,abstract,0.03
горький,горький,0,Slavic,Indo-European/Slavic,,abstract,0.03
кислый,кислый,0,Slavic,Indo-European/Slavic,,abstract,0.04
сладкий,сладкий,0,Slavic,Indo-European/Slavic,,abstract,0.03
свободный,свободный,0,Slavic,Indo-European/Slavic,,abstract,0.03
трудный,трудный,0,Slavic,Indo-European/Slavic,,abstract,0.03
простой,простой,0,Slavic,Indo-European/Slavic,,abstract,0.03
сложный,сложный,0,Slavic,Indo-European/Slavic,,abstract,0.03
важный,важный,0,Slavic,Indo-European/Slavic,,abstract,0.03
вечный,вечный,0,Slavic,Indo-European/Slavic,,abstract,0.03
весёлый,весёлый,0,Slavic,Indo-European/Slavic,,abstract,0.03
грустный,грустный,0,Slavic,Indo-European/Slavic,,abstract,0.03
лист,лист,0,Slavic,Indo-European/Slavic,,nature,0.03
корень,корень,0,Slavic,Indo-European/Slavic,,nature,0.03
плод,плод,0,Slavic,Indo-European/Slavic,,nature,0.03
зерно,зерно,0,Slavic,Indo-European/Slavic,,nature,0.03
семя,семя,0,Slavic,Indo-European/Slavic,,nature,0.03
яблоко,яблоко,0,Slavic,Indo-European/Slavic,,food,0.03
груша,груша,0,Slavic,Indo-European/Slavic,,food,0.03
вишня,вишня,0,Slavic,Indo-European/Slavic,,food,0.04
слива,слива,0,Slavic,Indo-European/Slavic,,food,0.03
малина,малина,0,Slavic,Indo-European/Slavic,,food,0.03
клубника,клубника,0,Slavic,Indo-European/Slavic,,food,0.03
морковь,морковь,0,Slavic,Indo-European/Slavic,,food,0.03
репа,репа,0,Slavic,Indo-European/Slavic,,food,0.03
капуста,капуста,0,Slavic,Indo-European/Slavic,,food,0.04
чеснок,чеснок,0,Slavic,Indo-European/Slavic,,food,0.03
горох,горох,0,Slavic,Indo-European/Slavic,,food,0.03
пшеница,пшеница,0,Slavic,Indo-European/Slavic,,agriculture,0.03
рожь,рожь,0,Slavic,Indo-European/Slavic,,agriculture,0.03
гречка,гречка,0,Slavic,Indo-European/Slavic,,food,0.04
спать,спать,0,Slavic,Indo-European/Slavic,,action,0.03
есть,есть,0,Slavic,Indo-European/Slavic,,action,0.03
пить,пить,0,Slavic,Indo-European/Slavic,,action,0.03
ходить,ходить,0,Slavic,Indo-European/Slavic,,action,0.03
стоять,стоять,0,Slavic,Indo-European/Slavic,,action,0.03
сидеть,сидеть,0,Slavic,Indo-European/Slavic,,action,0.03
лежать,лежать,0,Slavic,Indo-European/Slavic,,action,0.03
летать,летать,0,Slavic,Indo-European/Slavic,,action,0.03
плыть,плыть,0,Slavic,Indo-European/Slavic,,action,0.03
нести,нести,0,Slavic,Indo-European/Slavic,,action,0.03
тянуть,тянуть,0,Slavic,Indo-European/Slavic,,action,0.03
открыть,открыть,0,Slavic,Indo-European/Slavic,,action,0.03
найти,найти,0,Slavic,Indo-European/Slavic,,action,0.03
помнить,помнить,0,Slavic,Indo-European/Slavic,,action,0.03
забыть,забыть,0,Slavic,Indo-European/Slavic,,action,0.03
понять,понять,0,Slavic,Indo-European/Slavic,,action,0.03
спросить,спросить,0,Slavic,Indo-European/Slavic,,action,0.03
помочь,помочь,0,Slavic,Indo-European/Slavic,,action,0.03
ждать,ждать,0,Slavic,Indo-European/Slavic,,action,0.03
умереть,умереть,0,Slavic,Indo-European/Slavic,,action,0.03
родиться,родиться,0,Slavic,Indo-European/Slavic,,action,0.03
облако,облако,0,Slavic,Indo-European/Slavic,,nature,0.03
море,море,0,Slavic,Indo-European/Slavic,,nature,0.03
остров,остров,0,Slavic,Indo-European/Slavic,,nature,0.04
песок,песок,0,Slavic,Indo-European/Slavic,,nature,0.03
дуб,дуб,0,Slavic,Indo-European/Slavic,,nature,0.03
сосна,сосна,0,Slavic,Indo-European/Slavic,,nature,0.03
трава,трава,0,Slavic,Indo-European/Slavic,,nature,0.03
цветок,цветок,0,Slavic,Indo-European/Slavic,,nature,0.03
гриб,гриб,0,Slavic,Indo-European/Slavic,,nature,0.03
